peptide,metric,value
P3_Cyclized,z_contacts,25000000000000.0
P4_RetroEnantio,z_contacts,12000000000000.0
P2_Capped,z_contacts,8000000000000.0
P1_Linear,z_contacts,7000000000000.0
P3_Cyclized,d_contacts,25000000000000.0
P4_RetroEnantio,d_contacts,12000000000000.0
P2_Capped,d_contacts,8000000000000.0
P1_Linear,d_contacts,7000000000000.0
P3_Cyclized,class_contacts,strong
P4_RetroEnantio,class_contacts,strong
P2_Capped,class_contacts,strong
P1_Linear,class_contacts,strong
P3_Cyclized,z_density,865000000000.0
P4_RetroEnantio,z_density,500000000000.0
P2_Capped,z_density,333000000000.0
P1_Linear,z_density,292000000000.0
P3_Cyclized,d_density,865000000000.0
P4_RetroEnantio,d_density,500000000000.0
P2_Capped,d_density,333000000000.0
P1_Linear,d_density,292000000000.0
P3_Cyclized,class_density,strong
P4_RetroEnantio,class_density,strong
P2_Capped,class_density,strong
P1_Linear,class_density,strong
P3_Cyclized,z_bbb_total,0.0
P4_RetroEnantio,z_bbb_total,-2.24
P2_Capped,z_bbb_total,-2.24
P1_Linear,z_bbb_total,-2.24
P3_Cyclized,d_bbb_total,0.0
P4_RetroEnantio,d_bbb_total,-2.24
P2_Capped,d_bbb_total,-2.24
P1_Linear,d_bbb_total,-2.24
P3_Cyclized,class_bbb_total,weak
P4_RetroEnantio,class_bbb_total,strong
P2_Capped,class_bbb_total,strong
P1_Linear,class_bbb_total,strong
